Label	ID	URI	Scannet	Roomle	NYU40	Shapenet	COCO	FSO	Wordnet	Structural	Level
basin	2975	https://www.w3.org/2006/03/wn/wn20/instances/synset-basin-noun-01							basin.n.01	x	8
bidet	2833	http://www.aidimme.es/FurnitureSectorOntology.owl#Bidet						bidet	bidet.n.01	-	9
wheeled_vehicle	2976	https://www.w3.org/2006/03/wn/wn20/instances/synset-wheeled_vehicle-noun-01							wheeled_vehicle.n.01	x	7
cart	214	http://www.aidimme.es/FurnitureSectorOntology.owl#Cart	cart		40			cart	handcart.n.01	-	8
bicycle	121	http://scan-net.org/concepts/bycicle	bicycle		40	bicycle	bicycle		bicycle.n.01	-	8
hoverboard	1226	http://scan-net.org/concepts/hoverboard	hoverboard		40					-	8
skateboard	2028	http://atlantis-ar/indoor-taxonomy#skateboard					skateboard		skateboard.n.01	-	8
self-propelled_vehicle	2977	https://www.w3.org/2006/03/wn/wn20/instances/synset-self-propelled_vehicle-noun-01							self-propelled_vehicle.n.01	x	8
motor_vehicle	2978	https://www.w3.org/2006/03/wn/wn20/instances/synset-motor_vehicle-noun-01							motor_vehicle.n.01	x	9
motorcycle	2000	http://atlantis-ar/indoor-taxonomy#motorcycle					motorcycle		motorcycle.n.01	-	10
receptacle	2979	https://www.w3.org/2006/03/wn/wn20/instances/synset-receptacle-noun-01							receptacle.n.01	x	7
tray	185	http://scan-net.org/concepts/tray	tray		40				tray.n.01	-	8
dustpan	356	http://scan-net.org/concepts/dustpan	dustpan		40				dustpan.n.02	-	8
dish	2980	https://www.w3.org/2006/03/wn/wn20/instances/synset-dish-noun-01							dish.n.01	x	7
bowl	562	http://www.aidimme.es/FurnitureSectorOntology.owl#Bowl	bowl		40	bowl	bowl	bowl	bowl.n.03	-	8
shaker	2981	https://www.w3.org/2006/03/wn/wn20/instances/synset-shaker-noun-03							shaker.n.03	x	7
salt	1207	http://scan-net.org/concepts/salt	salt		40				saltshaker.n.01	-	8
storage container	221	http://scan-net.org/concepts/storage_container	storage container		40				container.n.01	-	6
plastic container	280	http://scan-net.org/concepts/plastic_container	plastic container		40				container.n.01	-	6
food container	1265	http://scan-net.org/concepts/food_container	food container		40				container.n.01	-	6
toiletry	174	http://scan-net.org/concepts/toiletry	toiletry		40				toiletry.n.01	-	6
toothbrush	1135	http://www.aidimme.es/FurnitureSectorOntology.owl#Toothbrush	toothbrush		40		toothbrush	toothbrush	toothbrush.n.01	-	7
shaving cream	1255	http://scan-net.org/concepts/shaving_cream	shaving cream		40				shaving_cream.n.01	-	7
lotion	225	http://scan-net.org/concepts/lotion	lotion		40				lotion.n.01	-	7
plastic storage bin	1302	http://scan-net.org/concepts/plastic_storage_bin	plastic storage bin		40				container.n.01	-	6
outdoor equipment	2516	http://www.aidimme.es/FurnitureSectorOntology.owl#OutdoorEquipment						outdoor equipment	equipment.n.01	-	6
exercise ball	372	http://scan-net.org/concepts/exercise_ball	exercise ball		40				sports_equipment.n.01	-	7
weight	2982	https://www.w3.org/2006/03/wn/wn20/instances/synset-weight-noun-02							weight.n.02	x	8
dumbbell	1170	http://scan-net.org/concepts/dumbbell_plates	dumbbell		40				dumbbell.n.01	-	9
golf_equipment	2983	https://www.w3.org/2006/03/wn/wn20/instances/synset-golf_equipment-noun-01							golf_equipment.n.01	x	8
dog park equipment	2377	http://www.aidimme.es/FurnitureSectorOntology.owl#DogParkEquipment						dog park equipment		-	7
playground equipment	2891	http://www.aidimme.es/FurnitureSectorOntology.owl#PlaygroundEquipment						playground equipment		-	7
zip line	2064	http://www.aidimme.es/FurnitureSectorOntology.owl#ZipLine						zip line		-	8
playground fence	2397	http://www.aidimme.es/FurnitureSectorOntology.owl#PlaygroundFence						playground fence		-	8
playset	2477	http://www.aidimme.es/FurnitureSectorOntology.owl#Playset						playset		-	8
spring rider	2550	http://www.aidimme.es/FurnitureSectorOntology.owl#SpringRider						spring rider		-	8
playground slide	2567	http://www.aidimme.es/FurnitureSectorOntology.owl#PlaygroundSlide						playground slide		-	8
creative play structure	2752	http://www.aidimme.es/FurnitureSectorOntology.owl#CreativePlayStructure						creative play structure		-	8
carousel	2832	http://www.aidimme.es/FurnitureSectorOntology.owl#Carousel						carousel		-	8
climbing structure	2858	http://www.aidimme.es/FurnitureSectorOntology.owl#ClimbingStructure						climbing structure		-	8
swing	2919	http://www.aidimme.es/FurnitureSectorOntology.owl#Swing						swing		-	8
electronic_equipment	2984	https://www.w3.org/2006/03/wn/wn20/instances/synset-electronic_equipment-noun-01							electronic_equipment.n.01	x	7
telephone	101	http://scan-net.org/concepts/telephone	telephone		40	telephone			telephone.n.01	-	8
radiotelephone	2985	https://www.w3.org/2006/03/wn/wn20/instances/synset-radiotelephone-noun-02							radiotelephone.n.02	x	9
cell phone	2043	http://atlantis-ar/indoor-taxonomy#cell_phone					cell phone		cellular_telephone.n.01	-	10
peripheral	2986	https://www.w3.org/2006/03/wn/wn20/instances/synset-peripheral-noun-01							peripheral.n.01	x	8
data_input_device	2987	https://www.w3.org/2006/03/wn/wn20/instances/synset-data_input_device-noun-01							data_input_device.n.01	x	9
keyboard	46	http://scan-net.org/concepts/keyboard	keyboard		40	computer keyboard	keyboard		computer_keyboard.n.01	-	10
scanner	345	http://scan-net.org/concepts/scanner	scanner		40				scanner.n.02	-	10
apparatus	2988	https://www.w3.org/2006/03/wn/wn20/instances/synset-apparatus-noun-01							apparatus.n.01	x	7
copier	72	http://scan-net.org/concepts/copier	copier		40				duplicator.n.01	-	8
separator	2112	http://www.aidimme.es/FurnitureSectorOntology.owl#Separator						separator	centrifuge.n.01	-	8
lighting	2303	http://www.aidimme.es/FurnitureSectorOntology.owl#Lighting						lighting	lighting.n.02	-	8
table lamp	2218	http://www.aidimme.es/FurnitureSectorOntology.owl#TableLamp						table lamp		-	9
ceiling lighting	2317	http://www.aidimme.es/FurnitureSectorOntology.owl#CeilingLighting						ceiling lighting		-	9
pendant light	2178	http://www.aidimme.es/FurnitureSectorOntology.owl#PendantLight						pendant light		-	10
track lighting	2256	http://www.aidimme.es/FurnitureSectorOntology.owl#TrackLighting						track lighting		-	10
kitchen lighting	2291	http://www.aidimme.es/FurnitureSectorOntology.owl#KitchenLighting						kitchen lighting		-	10
chandelier	1122	http://www.aidimme.es/FurnitureSectorOntology.owl#Chandelier	chandelier		38			chandelier	chandelier.n.01	-	10
led kit	2465	http://www.aidimme.es/FurnitureSectorOntology.owl#LedKit						led kit		-	9
floor lamp	2674	http://www.aidimme.es/FurnitureSectorOntology.owl#FloorLamp						floor lamp		-	9
bulb	2859	http://www.aidimme.es/FurnitureSectorOntology.owl#Bulb						bulb		-	9
desk lamp	179	http://www.aidimme.es/FurnitureSectorOntology.owl#DeskLamp	desk lamp		35	lamp		desk lamp		-	9
pendulum	2989	https://www.w3.org/2006/03/wn/wn20/instances/synset-pendulum-noun-01							pendulum.n.01	x	8
metronome	1212	http://scan-net.org/concepts/metronome	metronome		40				metronome.n.01	-	9
game_equipment	2990	https://www.w3.org/2006/03/wn/wn20/instances/synset-game_equipment-noun-01							game_equipment.n.01	x	7
ball	168	http://scan-net.org/concepts/ball	ball		40				ball.n.01	-	8
pool table	143	http://scan-net.org/concepts/pool_table	pool table		39	table			pool_table.n.01	-	8
photographic_equipment	2991	https://www.w3.org/2006/03/wn/wn20/instances/synset-photographic_equipment-noun-01							photographic_equipment.n.01	x	7
camera	1266	http://scan-net.org/concepts/camera	camera		40				camera.n.01	-	8
outdoor fitness equipment	2666	http://www.aidimme.es/FurnitureSectorOntology.owl#OutdoorFitnessEquipment						outdoor fitness equipment		-	7
furnishing	2992	https://www.w3.org/2006/03/wn/wn20/instances/synset-furnishing-noun-02							furnishing.n.02	x	6
curtain	21	http://www.aidimme.es/FurnitureSectorOntology.owl#Curtain	curtain		16			curtain	curtain.n.01	-	7
shower curtain	55	http://www.aidimme.es/FurnitureSectorOntology.owl#ShowerCurtain	shower curtain		28			shower curtain	shower_curtain.n.01	-	8
furniture	213	http://www.aidimme.es/FurnitureSectorOntology.owl#Furniture	furniture		39			furniture	furniture.n.01	-	7
table	4	http://www.aidimme.es/FurnitureSectorOntology.owl#Table	table		7	table		table	table.n.02	-	8
desk	9	http://www.aidimme.es/FurnitureSectorOntology.owl#OfficeTable	desk		14	table	desk		desk.n.01	-	9
coffee table	24	http://www.aidimme.es/FurnitureSectorOntology.owl#CoffeeTable	coffee table		7	table		coffee table	coffee_table.n.01	-	9
end table	44	http://www.aidimme.es/FurnitureSectorOntology.owl#EndTable	end table		7	table		end table		-	9
kitchen counter	159	http://scan-net.org/concepts/kitchen_counter	kitchen counter		12	table			counter.n.01	-	9
counter	35	http://www.aidimme.es/FurnitureSectorOntology.owl#Counter	counter		12	table		counter	counter.n.01	-	9
bathroom counter	1156	http://scan-net.org/concepts/bathroom_counter	bathroom counter		12	table			counter.n.01	-	9
stand	104	http://scan-net.org/concepts/stand	stand		39	table			stand.n.04	-	9
dining table	45	http://www.aidimme.es/FurnitureSectorOntology.owl#DiningTable	dining table		7	table	dining table	dining table		-	9
folded table	1193	http://scan-net.org/concepts/folded_table	folded table		7	table				-	9
round table	108	http://scan-net.org/concepts/round_table	round table		7	table				-	9
ping pong table	234	http://www.aidimme.es/FurnitureSectorOntology.owl#PingPongTable	ping pong table		39	table		ping pong table		-	9
side table	222	http://scan-net.org/concepts/side_table	side table		7	table				-	9
air hockey table	1355	http://scan-net.org/concepts/air_hockey_table	air hockey table		7	table				-	9
bedside table	2457	http://www.aidimme.es/FurnitureSectorOntology.owl#BedsideTable		bedside table				bedside table	stand.n.04	-	9
worktable	2993	https://www.w3.org/2006/03/wn/wn20/instances/synset-worktable-noun-01							worktable.n.01	x	9
workbench	389	http://www.aidimme.es/FurnitureSectorOntology.owl#Workbench	workbench		39	table		workbench	workbench.n.01	-	10
domestic table	2207	http://www.aidimme.es/FurnitureSectorOntology.owl#DomesticTable						domestic table		-	9
kitchen table	2087	http://www.aidimme.es/FurnitureSectorOntology.owl#KitchenTable						kitchen table		-	10
sofa table	2158	http://www.aidimme.es/FurnitureSectorOntology.owl#SofaTable						sofa table		-	10
island	2222	http://www.aidimme.es/FurnitureSectorOntology.owl#Island						island		-	10
television stand	2235	http://www.aidimme.es/FurnitureSectorOntology.owl#TelevisionStand						television stand		-	10
serving trolley	2272	http://www.aidimme.es/FurnitureSectorOntology.owl#ServingTrolley						serving trolley		-	10
lounge table	2742	http://www.aidimme.es/FurnitureSectorOntology.owl#LoungeTable						lounge table		-	10
home student desk	2812	http://www.aidimme.es/FurnitureSectorOntology.owl#HomeStudentDesk						home student desk		-	10
religious table	2306	http://www.aidimme.es/FurnitureSectorOntology.owl#ReligiousTable						religious table		-	9
altar	2864	http://www.aidimme.es/FurnitureSectorOntology.owl#Altar						altar		-	10
communion table	2900	http://www.aidimme.es/FurnitureSectorOntology.owl#CommunionTable						communion table		-	10
pulpit	2920	http://www.aidimme.es/FurnitureSectorOntology.owl#Pulpit						pulpit	dais.n.01	-	10
outdoor table	2499	http://www.aidimme.es/FurnitureSectorOntology.owl#OutdoorTable						outdoor table		-	9
picnic table	2245	http://www.aidimme.es/FurnitureSectorOntology.owl#PicnicTable						picnic table		-	10
garden table	2905	http://www.aidimme.es/FurnitureSectorOntology.owl#GardenTable						garden table		-	10
restaurant and bar table	2539	http://www.aidimme.es/FurnitureSectorOntology.owl#RestaurantAndBarTable						restaurant and bar table		-	9
games table	2562	http://www.aidimme.es/FurnitureSectorOntology.owl#GamesTable						games table		-	9
school desk	2831	http://www.aidimme.es/FurnitureSectorOntology.owl#SchoolDesk						school desk		-	9
sport table	2893	http://www.aidimme.es/FurnitureSectorOntology.owl#SportTable						sport table		-	9
work table	2916	http://www.aidimme.es/FurnitureSectorOntology.owl#WorkTable						work table		-	9
laboratory bench	2215	http://www.aidimme.es/FurnitureSectorOntology.owl#LaboratoryBench						laboratory bench		-	10
sewing table	2313	http://www.aidimme.es/FurnitureSectorOntology.owl#SewingTable						sewing table		-	10
kitchen workbench	2401	http://www.aidimme.es/FurnitureSectorOntology.owl#KitchenWorkbench						kitchen workbench		-	10
operating table	2878	http://www.aidimme.es/FurnitureSectorOntology.owl#OperatingTable						operating table		-	10
ironing board	155	http://www.aidimme.es/FurnitureSectorOntology.owl#IroningBoard	ironing board		39			ironing board	ironing_board.n.01	-	10
cabinet	7	http://scan-net.org/concepts/cabinet_door	cabinet		3	cabinet		cabinet	cabinet.n.01	-	8
bathroom cabinet	1173	http://www.aidimme.es/FurnitureSectorOntology.owl#BathroomCabinet	bathroom cabinet		3	cabinet		bathroom cabinet		-	9
trash cabinet	1322	http://scan-net.org/concepts/trash_cabinet	trash cabinet		3	cabinet				-	9
media center	815	http://scan-net.org/concepts/media_center	media center		3	cabinet				-	9
bath cabinet	2995	http://atlantis-ar/indoor-taxonomy#bath_cabinet		bath cabinet						-	9
mirror cabinet	2996	http://atlantis-ar/indoor-taxonomy#mirror_cabinet		mirror cabinet						-	9
laboratory cabinet	2049	http://www.aidimme.es/FurnitureSectorOntology.owl#LaboratoryCabinet						laboratory cabinet		-	9
filing cabinet	2176	http://www.aidimme.es/FurnitureSectorOntology.owl#FilingCabinet						filing cabinet		-	9
boiserie	2180	http://www.aidimme.es/FurnitureSectorOntology.owl#Boiserie						boiserie		-	9
sideboard	2374	http://www.aidimme.es/FurnitureSectorOntology.owl#Sideboard						sideboard		-	9
kitchen cabinet	29	http://www.aidimme.es/FurnitureSectorOntology.owl#KitchenCabinet	kitchen cabinet		3			kitchen cabinet	cabinet.n.01	-	9
base cabinet	2138	http://www.aidimme.es/FurnitureSectorOntology.owl#BaseCabinet						base cabinet		-	10
wall cabinet	2139	http://www.aidimme.es/FurnitureSectorOntology.owl#WallCabinet						wall cabinet		-	10
wardrobe	99	http://www.aidimme.es/FurnitureSectorOntology.owl#Wardrobe	wardrobe		39			wardrobe	wardrobe.n.01	-	9
chiffonier	2821	http://www.aidimme.es/FurnitureSectorOntology.owl#Chiffonier						chiffonier	chiffonier.n.01	-	9
lamp	28	http://scan-net.org/concepts/lamp	lamp		35	lamp			lamp.n.02	-	8
studio light	379	http://scan-net.org/concepts/studio_light	studio light		38				floor_lamp.n.01	-	9
ceiling lamp	749	http://scan-net.org/concepts/ceiling_lamp	ceiling lamp		35	lamp				-	9
night lamp	1145	http://scan-net.org/concepts/night_lamp	night lamp		35	lamp				-	9
lamp ceiling	2998	http://atlantis-ar/indoor-taxonomy#lamp_ceiling		lamp ceiling						-	9
lamp outside	2999	http://atlantis-ar/indoor-taxonomy#lamp_outside		lamp outside						-	9
wall lamp	3001	http://atlantis-ar/indoor-taxonomy#wall_lamp		lamp wall						-	9
nightstand	34	http://scan-net.org/concepts/nightstand	nightstand		32				chest_of_drawers.n.01	-	8
dresser	36	http://www.aidimme.es/FurnitureSectorOntology.owl#Dresser	dresser		17			dresser	chest_of_drawers.n.01	-	8
bathroom vanity	1164	http://scan-net.org/concepts/bathroom_vanity	bathroom vanity		3	cabinet			cabinet.n.01	-	8
seat	116	http://www.aidimme.es/FurnitureSectorOntology.owl#Seat	seat		39			seat	seat.n.03	-	8
chair	2	http://www.aidimme.es/FurnitureSectorOntology.owl#Chair	chair		5	chair	chair	chair	chair.n.01	-	9
office chair	10	http://www.aidimme.es/FurnitureSectorOntology.owl#OfficeChair	office chair		5	chair		office chair	swivel_chair.n.01	-	10
armchair	23	http://scan-net.org/concepts/armchair	armchair		5	chair			armchair.n.01	-	10
sunlounger	3002	http://atlantis-ar/indoor-taxonomy#sunlounger		garden sunlounger					lounger.n.02	-	11
rocking chair	885	http://www.aidimme.es/FurnitureSectorOntology.owl#RockingChair	rocking chair		5	chair		rocking chair	rocking_chair.n.01	-	10
school chair	2065	http://www.aidimme.es/FurnitureSectorOntology.owl#SchoolChair						school chair		-	10
domestic chair	2307	http://www.aidimme.es/FurnitureSectorOntology.owl#DomesticChair						domestic chair		-	10
reclining chair	2334	http://www.aidimme.es/FurnitureSectorOntology.owl#RecliningChair						reclining chair		-	11
desk chair	2487	http://www.aidimme.es/FurnitureSectorOntology.owl#DeskChair						desk chair		-	11
dining room chair	2512	http://www.aidimme.es/FurnitureSectorOntology.owl#DiningRoomChair						dining room chair		-	11
kitchen chair	2592	http://www.aidimme.es/FurnitureSectorOntology.owl#KitchenChair						kitchen chair		-	11
wheel chair	2365	http://www.aidimme.es/FurnitureSectorOntology.owl#WheelChair						wheel chair		-	10
throne	2631	http://www.aidimme.es/FurnitureSectorOntology.owl#Throne						throne		-	10
ortophedic chair	2668	http://www.aidimme.es/FurnitureSectorOntology.owl#OrtophedicChair						ortophedic chair		-	10
restaurant and bar chair	2825	http://www.aidimme.es/FurnitureSectorOntology.owl#RestaurantAndBarChair						restaurant and bar chair		-	10
professional chair	2869	http://www.aidimme.es/FurnitureSectorOntology.owl#ProfessionalChair						professional chair		-	10
barber chair	2292	http://www.aidimme.es/FurnitureSectorOntology.owl#BarberChair						barber chair		-	11
dentist chair	2598	http://www.aidimme.es/FurnitureSectorOntology.owl#DentistChair						dentist chair		-	11
director chair	2663	http://www.aidimme.es/FurnitureSectorOntology.owl#DirectorChair						director chair		-	11
outdoor chair	2874	http://www.aidimme.es/FurnitureSectorOntology.owl#OutdoorChair						outdoor chair		-	10
garden chair	2383	http://www.aidimme.es/FurnitureSectorOntology.owl#GardenChair						garden chair		-	11
beach chair	2690	http://www.aidimme.es/FurnitureSectorOntology.owl#BeachChair						beach chair		-	11
deck chair	2783	http://www.aidimme.es/FurnitureSectorOntology.owl#DeckChair						deck chair		-	11
couch	6	http://scan-net.org/concepts/couch	couch		6	sofa	couch		sofa.n.01	-	9
sofa bed	3003	http://atlantis-ar/indoor-taxonomy#sofa_bed		bed sofabed					sofa_bed.n.01	-	10
loveseat	2414	http://www.aidimme.es/FurnitureSectorOntology.owl#Loveseat						loveseat	love_seat.n.01	-	10
modular sofa	2829	http://www.aidimme.es/FurnitureSectorOntology.owl#ModularSofa						modular sofa		-	10
stool	38	http://www.aidimme.es/FurnitureSectorOntology.owl#Stool	stool		40			stool	stool.n.01	-	9
ottoman	67	http://scan-net.org/concepts/ottoman	ottoman		39				footstool.n.01	-	10
footrest	307	http://scan-net.org/concepts/footrest	footrest		39				footstool.n.01	-	10
step stool	216	http://scan-net.org/concepts/step_stool	step stool		40				step_stool.n.01	-	10
footstool	85	http://scan-net.org/concepts/footstool	footstool		39				footstool.n.01	-	10
stepstool	1116	http://scan-net.org/concepts/stepstool	stepstool		40				step_stool.n.01	-	10
sofa chair	74	http://scan-net.org/concepts/sofa_chair	sofa chair		5	chair			chair.n.01	-	9
bench	68	http://www.aidimme.es/FurnitureSectorOntology.owl#Bench	bench		39	bench	bench	bench	bench.n.01	-	9
religious bench	2194	http://www.aidimme.es/FurnitureSectorOntology.owl#ReligiousBench						religious bench		-	10
church pew	2423	http://www.aidimme.es/FurnitureSectorOntology.owl#ChurchPew						church pew		-	11
kneeler	2544	http://www.aidimme.es/FurnitureSectorOntology.owl#Kneeler						kneeler		-	11
communion bench	2908	http://www.aidimme.es/FurnitureSectorOntology.owl#CommunionBench						communion bench		-	11
street bench	2448	http://www.aidimme.es/FurnitureSectorOntology.owl#StreetBench						street bench		-	10
park bench	2581	http://www.aidimme.es/FurnitureSectorOntology.owl#ParkBench						park bench		-	10
garden bench	2730	http://www.aidimme.es/FurnitureSectorOntology.owl#GardenBench						garden bench		-	10
piano bench	410	http://www.aidimme.es/FurnitureSectorOntology.owl#PianoBench	piano bench		39	bench		piano bench	bench.n.01	-	10
folded chair	1184	http://scan-net.org/concepts/folded_chair	folded chair		5	chair			chair.n.01	-	9
massage chair	1291	http://scan-net.org/concepts/massage_chair	massage chair		5	chair			chair.n.01	-	9
sofa	1313	http://www.aidimme.es/FurnitureSectorOntology.owl#Sofa	sofa		6	sofa		sofa	sofa.n.01	-	9
canap	2216	http://www.aidimme.es/FurnitureSectorOntology.owl#Canapé						canap		-	10
corner sofa	2691	http://www.aidimme.es/FurnitureSectorOntology.owl#CornerSofa						corner sofa		-	10
puff	2667	http://www.aidimme.es/FurnitureSectorOntology.owl#Puff						puff		-	9
wardrobe 	1177	http://scan-net.org/concepts/wardrobe_	wardrobe 		39				wardrobe.n.01	-	8
bedframe	43	http://scan-net.org/concepts/bedframe	bedframe		39				bedstead.n.01	-	8
bookcase	2181	http://www.aidimme.es/FurnitureSectorOntology.owl#Bookcase						bookcase	bookcase.n.01	-	8
bedroom_furniture	3006	https://www.w3.org/2006/03/wn/wn20/instances/synset-bedroom_furniture-noun-01							bedroom_furniture.n.01	x	8
bed	11	http://www.aidimme.es/FurnitureSectorOntology.owl#Bed	bed		4	bed	bed	bed	bed.n.01	-	9
bunk bed	411	http://www.aidimme.es/FurnitureSectorOntology.owl#BunkBed	bunk bed		39	bed		bunk bed	bunk_bed.n.01	-	10
kids bed	3007	http://atlantis-ar/indoor-taxonomy#kids_bed		bed kids						-	10
folding bed	2073	http://www.aidimme.es/FurnitureSectorOntology.owl#FoldingBed						folding bed		-	10
pull down bed	2103	http://www.aidimme.es/FurnitureSectorOntology.owl#PullDownBed						pull down bed		-	10
air bed	2175	http://www.aidimme.es/FurnitureSectorOntology.owl#AirBed						air bed		-	10
hospital bed	2319	http://www.aidimme.es/FurnitureSectorOntology.owl#HospitalBed						hospital bed		-	10
futon bed	2559	http://www.aidimme.es/FurnitureSectorOntology.owl#FutonBed						futon bed		-	10
compact bed	2564	http://www.aidimme.es/FurnitureSectorOntology.owl#CompactBed						compact bed		-	10
water bed	2610	http://www.aidimme.es/FurnitureSectorOntology.owl#WaterBed						water bed		-	10
bunk	2626	http://www.aidimme.es/FurnitureSectorOntology.owl#Bunk						bunk		-	10
stretcher	2670	http://www.aidimme.es/FurnitureSectorOntology.owl#Stretcher						stretcher		-	10
mattress	1191	http://www.aidimme.es/FurnitureSectorOntology.owl#Mattress	mattress		4	bed		mattress	bed.n.01	-	9
water mattress	2254	http://www.aidimme.es/FurnitureSectorOntology.owl#WaterMattress						water mattress		-	10
spring mattress	2258	http://www.aidimme.es/FurnitureSectorOntology.owl#SpringMattress						spring mattress		-	10
straw mattress	2259	http://www.aidimme.es/FurnitureSectorOntology.owl#StrawMattress						straw mattress		-	10
latex mattress	2273	http://www.aidimme.es/FurnitureSectorOntology.owl#LatexMattress						latex mattress		-	10
foam mattress	2888	http://www.aidimme.es/FurnitureSectorOntology.owl#FoamMattress						foam mattress		-	10
loft bed	494	http://scan-net.org/concepts/loft_bed	loft bed		4	bed			bed.n.01	-	9
office_furniture	3009	https://www.w3.org/2006/03/wn/wn20/instances/synset-office_furniture-noun-01							office_furniture.n.01	x	8
file cabinet	75	http://scan-net.org/concepts/file_cabinet	file cabinet		3	cabinet			file.n.03	-	9
filing tray	592	http://scan-net.org/concepts/mail_tray	filing tray		40					-	10
file organizer	813	http://scan-net.org/concepts/file_organizer	file organizer		40					-	10
wall_unit	3010	https://www.w3.org/2006/03/wn/wn20/instances/synset-wall_unit-noun-01							wall_unit.n.01	x	8
tv stand	51	http://scan-net.org/concepts/tv_stand	tv stand		39				entertainment_center.n.01	-	9
baby_bed	3011	https://www.w3.org/2006/03/wn/wn20/instances/synset-baby_bed-noun-01							baby_bed.n.01	x	8
crib	566	http://www.aidimme.es/FurnitureSectorOntology.owl#Crib	crib		39			crib	crib.n.01	-	9
carrycot	2165	http://www.aidimme.es/FurnitureSectorOntology.owl#Carrycot						carrycot	carrycot.n.01	-	9
furniture complement	2289	http://www.aidimme.es/FurnitureSectorOntology.owl#FurnitureComplement						furniture complement		-	8
mixed use complement	2085	http://www.aidimme.es/FurnitureSectorOntology.owl#MixedUseComplement						mixed use complement		-	9
mosquito net	2048	http://www.aidimme.es/FurnitureSectorOntology.owl#MosquitoNet						mosquito net		-	10
bumper	2102	http://www.aidimme.es/FurnitureSectorOntology.owl#Bumper						bumper		-	10
paper holder	2346	http://www.aidimme.es/FurnitureSectorOntology.owl#PaperHolder						paper holder		-	10
adhesive tape	2350	http://www.aidimme.es/FurnitureSectorOntology.owl#AdhesiveTape						adhesive tape		-	10
table top	2362	http://www.aidimme.es/FurnitureSectorOntology.owl#TableTop						table top		-	10
notice board	2782	http://www.aidimme.es/FurnitureSectorOntology.owl#NoticeBoard						notice board		-	11
writing board	2897	http://www.aidimme.es/FurnitureSectorOntology.owl#WritingBoard						writing board		-	11
whiteboard	52	http://www.aidimme.es/FurnitureSectorOntology.owl#Whiteboard	whiteboard		30			whiteboard	display_panel.n.01	-	12
blackboard	89	http://www.aidimme.es/FurnitureSectorOntology.owl#Blackboard	blackboard		38			blackboard	blackboard.n.01	-	12
pendulum system	2543	http://www.aidimme.es/FurnitureSectorOntology.owl#PendulumSystem						pendulum system		-	10
cap plug	2574	http://www.aidimme.es/FurnitureSectorOntology.owl#CapPlug						cap plug		-	10
door stopper	2606	http://www.aidimme.es/FurnitureSectorOntology.owl#DoorStopper						door stopper		-	10
screw cover cap	2758	http://www.aidimme.es/FurnitureSectorOntology.owl#ScrewCoverCap						screw cover cap		-	10
screw cap	2798	http://www.aidimme.es/FurnitureSectorOntology.owl#ScrewCap						screw cap		-	10
sink	14	http://www.aidimme.es/FurnitureSectorOntology.owl#Sink	sink		34		sink	sink	sink.n.01	-	10
bath basin	3012	http://atlantis-ar/indoor-taxonomy#bath_basin		bath basin					washbasin.n.01	-	11
kitchen sink	3013	http://atlantis-ar/indoor-taxonomy#kitchen_sink		kitchen sink					kitchen_sink.n.01	-	11
mirror	71	http://www.aidimme.es/FurnitureSectorOntology.owl#Mirror	mirror		19		mirror	mirror	mirror.n.01	-	10
soap dish	157	http://www.aidimme.es/FurnitureSectorOntology.owl#SoapDish	soap dish		40			soap dish	soap_dish.n.01	-	10
carpet	53	http://www.aidimme.es/FurnitureSectorOntology.owl#Carpet	carpet		40			carpet	rug.n.01	-	10
umbrella	816	http://www.aidimme.es/FurnitureSectorOntology.owl#Umbrella	umbrella		40		umbrella	umbrella	umbrella.n.01	-	10
tap	142	http://www.aidimme.es/FurnitureSectorOntology.owl#Tap	tap		40	faucet		tap	water_faucet.n.01	-	10
felt	2461	http://www.aidimme.es/FurnitureSectorOntology.owl#Felt						felt	felt.n.01	-	10
glider	2847	http://www.aidimme.es/FurnitureSectorOntology.owl#Glider						glider	glider.n.01	-	10
kitchen complement	2172	http://www.aidimme.es/FurnitureSectorOntology.owl#KitchenComplement						kitchen complement		-	9
burner	2304	http://www.aidimme.es/FurnitureSectorOntology.owl#Burner						burner		-	10
cutlery	2466	http://www.aidimme.es/FurnitureSectorOntology.owl#Cutlery						cutlery		-	10
fume cupboard	2729	http://www.aidimme.es/FurnitureSectorOntology.owl#FumeCupboard						fume cupboard		-	10
cooktop	2795	http://www.aidimme.es/FurnitureSectorOntology.owl#Cooktop						cooktop		-	10
platter	2909	http://www.aidimme.es/FurnitureSectorOntology.owl#Platter						platter		-	10
range hood	342	http://www.aidimme.es/FurnitureSectorOntology.owl#RangeHood	range hood		38			range hood	range_hood.n.01	-	10
plate	88	http://www.aidimme.es/FurnitureSectorOntology.owl#Plate	plate		40		plate	plate	plate.n.04	-	10
frying pan	746	http://www.aidimme.es/FurnitureSectorOntology.owl#FryingPan	frying pan		40			frying pan	frying_pan.n.01	-	10
strainer	2261	http://www.aidimme.es/FurnitureSectorOntology.owl#Strainer						strainer	strainer.n.01	-	10
sieve	2718	http://www.aidimme.es/FurnitureSectorOntology.owl#Sieve						sieve	sieve.n.01	-	11
squeezer	2315	http://www.aidimme.es/FurnitureSectorOntology.owl#Squeezer						squeezer	squeezer.n.01	-	10
waste container	2266	http://www.aidimme.es/FurnitureSectorOntology.owl#WasteContainer						waste container		-	9
garbage bin	2208	http://www.aidimme.es/FurnitureSectorOntology.owl#GarbageBin						garbage bin		-	10
